"Orthogroup"	"human"	"mouse"	"monkey"
"h_OG0001085"	"ENSG00000163864"	"ENSMUSG00000032456"	"ENSMMUG00000000287"
"h_OG0001086"	"ENSG00000176788"	"ENSMUSG00000045763"	"ENSMMUG00000011892"
"h_OG0001087"	"ENSG00000183688"	"ENSMUSG00000020846"	"ENSMMUG00000048265"
"h_OG0001088"	"ENSG00000111911"	"ENSMUSG00000019791"	"ENSMMUG00000004291"
"h_OG0001089"	"ENSG00000132382"	"ENSMUSG00000040463"	"ENSMMUG00000022859"
"h_OG0001090"	"ENSG00000016864"	"ENSMUSG00000021916"	"ENSMMUG00000012526"
"h_OG0001091"	"ENSG00000165813"	"ENSMUSG00000035173"	"ENSMMUG00000022514"
"h_OG0001092"	"ENSG00000136237"	"ENSMUSG00000041992"	"ENSMMUG00000002987"
"h_OG0001093"	"ENSG00000181588"	"ENSMUSG00000048696"	"ENSMMUG00000043577"
"h_OG0001094"	"ENSG00000196730"	"ENSMUSG00000021559"	"ENSMMUG00000017053"
"h_OG0001095"	"ENSG00000165985"	"ENSMUSG00000049630"	"ENSMMUG00000016064"
"h_OG0001096"	"ENSG00000176900"	"ENSMUSG00000045824"	"ENSMMUG00000013810"
"h_OG0001097"	"ENSG00000165983"	"ENSMUSG00000026730"	"ENSMMUG00000016063"
"h_OG0001098"	"ENSG00000134160"	"ENSMUSG00000030523"	"ENSMMUG00000009430"
"h_OG0001099"	"ENSG00000108963"	"ENSMUSG00000078789"	"ENSMMUG00000010699"
"h_OG0001100"	"ENSG00000108788"	"ENSMUSG00000017801"	"ENSMMUG00000009887"
"h_OG0001101"	"ENSG00000080815"	"ENSMUSG00000019969"	"ENSMMUG00000010173"
"h_OG0001102"	"ENSG00000278535"	"ENSMUSG00000034449"	"ENSMMUG00000000620"
"h_OG0001103"	"ENSG00000057663"	"ENSMUSG00000038160"	"ENSMMUG00000019679"
"h_OG0001104"	"ENSG00000169594"	"ENSMUSG00000025105"	"ENSMMUG00000008188"
"h_OG0001105"	"ENSG00000158163"	"ENSMUSG00000037784"	"ENSMMUG00000013269"
"h_OG0001106"	"ENSG00000176925"	"ENSMUSG00000073965"	"ENSMMUG00000013622"
"h_OG0001107"	"ENSG00000166793"	"ENSMUSG00000034059"	"ENSMMUG00000012620"
"h_OG0001108"	"ENSG00000115507"	"ENSMUSG00000005917"	"ENSMMUG00000016676"
"h_OG0001109"	"ENSG00000100024"	"ENSMUSG00000033427"	"ENSMMUG00000000262"
"h_OG0001110"	"ENSG00000136404"	"ENSMUSG00000038623"	"ENSMMUG00000009084"
"h_OG0001111"	"ENSG00000166689"	"ENSMUSG00000045659"	"ENSMMUG00000017628"
"h_OG0001112"	"ENSG00000176895"	"ENSMUSG00000073962"	"ENSMMUG00000030977"
"h_OG0001113"	"ENSG00000185737"	"ENSMUSG00000041014"	"ENSMMUG00000017380"
"h_OG0001114"	"ENSG00000172409"	"ENSMUSG00000027079"	"ENSMMUG00000038007"
"h_OG0001115"	"ENSG00000221818"	"ENSMUSG00000022053"	"ENSMMUG00000005760"
"h_OG0001116"	"ENSG00000164347"	"ENSMUSG00000021666"	"ENSMMUG00000019998"
"h_OG0001117"	"ENSG00000137270"	"ENSMUSG00000023333"	"ENSMMUG00000022083"
"h_OG0001118"	"ENSG00000164062"	"ENSMUSG00000032590"	"ENSMMUG00000014540"
"h_OG0001119"	"ENSG00000146670"	"ENSMUSG00000024791"	"ENSMMUG00000018767"
"h_OG0001120"	"ENSG00000130305"	"ENSMUSG00000000916"	"ENSMMUG00000022776"
"h_OG0001121"	"ENSG00000128016"	"ENSMUSG00000044786"	"ENSMMUG00000038702"
"h_OG0001122"	"ENSG00000131470"	"ENSMUSG00000019303"	"ENSMMUG00000009889"
"h_OG0001123"	"ENSG00000008083"	"ENSMUSG00000038518"	"ENSMMUG00000015362"
"h_OG0001124"	"ENSG00000141252"	"ENSMUSG00000017288"	"ENSMMUG00000003042"
"h_OG0001125"	"ENSG00000189339"	"ENSMUSG00000042202"	"ENSMMUG00000005578"
"h_OG0001126"	"ENSG00000010327"	"ENSMUSG00000042286"	"ENSMMUG00000017351"
"h_OG0001127"	"ENSG00000103653"	"ENSMUSG00000032312"	"ENSMMUG00000015267"
"h_OG0001128"	"ENSG00000256060"	"ENSMUSG00000079317"	"ENSMMUG00000022619"
"h_OG0001129"	"ENSG00000088882"	"ENSMUSG00000027408"	"ENSMMUG00000021332"
"h_OG0001130"	"ENSG00000139514"	"ENSMUSG00000041313"	"ENSMMUG00000008661"
"h_OG0001131"	"ENSG00000105369"	"ENSMUSG00000003379"	"ENSMMUG00000047772"
"h_OG0001132"	"ENSG00000072858"	"ENSMUSG00000022696"	"ENSMMUG00000013454"
"h_OG0001133"	"ENSG00000107864"	"ENSMUSG00000039652"	"ENSMMUG00000015050"
"h_OG0001134"	"ENSG00000149636"	"ENSMUSG00000027635"	"ENSMMUG00000005576"
"h_OG0001135"	"ENSG00000141052"	"ENSMUSG00000020542"	"ENSMMUG00000013281"
"h_OG0001136"	"ENSG00000166503"	"ENSMUSG00000025104"	"ENSMMUG00000009087"
"h_OG0001137"	"ENSG00000105321"	"ENSMUSG00000041375"	"ENSMMUG00000003075"
"h_OG0001138"	"ENSG00000100802"	"ENSMUSG00000022179"	"ENSMMUG00000008477"
"h_OG0001139"	"ENSG00000104427"	"ENSMUSG00000043542"	"ENSMMUG00000001653"
"h_OG0001140"	"ENSG00000138036"	"ENSMUSG00000024253"	"ENSMMUG00000008077"
"h_OG0001141"	"ENSG00000105173"	"ENSMUSG00000002068"	"ENSMMUG00000020668"
"h_OG0001142"	"ENSG00000162408"	"ENSMUSG00000028948"	"ENSMMUG00000023681"
"h_OG0001143"	"ENSG00000198795"	"ENSMUSG00000024420"	"ENSMMUG00000008600"
"h_OG0001144"	"ENSG00000104432"	"ENSMUSG00000040329"	"ENSMMUG00000001655"
"h_OG0001145"	"ENSG00000124302"	"ENSMUSG00000060402"	"ENSMMUG00000018024"
"h_OG0001146"	"ENSG00000113645"	"ENSMUSG00000018849"	"ENSMMUG00000007457"
"h_OG0001147"	"ENSG00000010256"	"ENSMUSG00000025651"	"ENSMMUG00000014705"
"h_OG0001148"	"ENSG00000058804"	"ENSMUSG00000028614"	"ENSMMUG00000003546"
"h_OG0001149"	"ENSG00000186190"	"ENSMUSG00000068008"	"ENSMMUG00000020671"
"h_OG0001150"	"ENSG00000196090"	"ENSMUSG00000053141"	"ENSMMUG00000001108"
"h_OG0001151"	"ENSG00000128271"	"ENSMUSG00000020178"	"ENSMMUG00000000261"
"h_OG0001152"	"ENSG00000025039"	"ENSMUSG00000028278"	"ENSMMUG00000015262"
"h_OG0001153"	"ENSG00000155465"	"ENSMUSG00000000958"	"ENSMMUG00000000413"
"h_OG0001154"	"ENSG00000092445"	"ENSMUSG00000027298"	"ENSMMUG00000013803"
"h_OG0001155"	"ENSG00000166394"	"ENSMUSG00000048065"	"ENSMMUG00000019755"
"h_OG0001156"	"ENSG00000182968"	"ENSMUSG00000096014"	"ENSMMUG00000048708"
"h_OG0001157"	"ENSG00000173706"	"ENSMUSG00000075254"	"ENSMMUG00000032005"
"h_OG0001158"	"ENSG00000006744"	"ENSMUSG00000020549"	"ENSMMUG00000014450"
"h_OG0001159"	"ENSG00000130522"	"ENSMUSG00000071076"	"ENSMMUG00000038371"
"h_OG0001160"	"ENSG00000169064"	"ENSMUSG00000034151"	"ENSMMUG00000023045"
"h_OG0001161"	"ENSG00000122042"	"ENSMUSG00000001687"	"ENSMMUG00000003771"
"h_OG0001162"	"ENSG00000160208"	"ENSMUSG00000058392"	"ENSMMUG00000000104"
"h_OG0001163"	"ENSG00000119408"	"ENSMUSG00000026749"	"ENSMMUG00000007354"
"h_OG0001164"	"ENSG00000176463"	"ENSMUSG00000025790"	"ENSMMUG00000001740"
"h_OG0001165"	"ENSG00000150753"	"ENSMUSG00000022234"	"ENSMMUG00000020112"
"h_OG0001166"	"ENSG00000187790"	"ENSMUSG00000055884"	"ENSMMUG00000016513"
"h_OG0001167"	"ENSG00000165097"	"ENSMUSG00000038080"	"ENSMMUG00000018575"
"h_OG0001168"	"ENSG00000173662"	"ENSMUSG00000028950"	"ENSMMUG00000018183"
"h_OG0001169"	"ENSG00000168374"	"ENSMUSG00000021877"	"ENSMMUG00000018617"
"h_OG0001170"	"ENSG00000171617"	"ENSMUSG00000041773"	"ENSMMUG00000019996"
"h_OG0001171"	"ENSG00000111653"	"ENSMUSG00000030330"	"ENSMMUG00000016985"
"h_OG0001172"	"ENSG00000206052"	"ENSMUSG00000073514"	"ENSMMUG00000018275"
"h_OG0001173"	"ENSG00000152582"	"ENSMUSG00000072663"	"ENSMMUG00000018739"
"h_OG0001174"	"ENSG00000153885"	"ENSMUSG00000030499"	"ENSMMUG00000011319"
"h_OG0001175"	"ENSG00000169891"	"ENSMUSG00000040855"	"ENSMMUG00000010598"
"h_OG0001176"	"ENSG00000107897"	"ENSMUSG00000026781"	"ENSMMUG00000016410"
"h_OG0001177"	"ENSG00000197816"	"ENSMUSG00000035539"	"ENSMMUG00000012266"
"h_OG0001178"	"ENSG00000171791"	"ENSMUSG00000057329"	"ENSMMUG00000037487"
"h_OG0001179"	"ENSG00000047579"	"ENSMUSG00000057531"	"ENSMMUG00000015363"
"h_OG0001180"	"ENSG00000178607"	"ENSMUSG00000020715"	"ENSMMUG00000015185"
"h_OG0001181"	"ENSG00000170950"	"ENSMUSG00000031233"	"ENSMMUG00000011998"
"h_OG0001182"	"ENSG00000033867"	"ENSMUSG00000021733"	"ENSMMUG00000019327"
"h_OG0001183"	"ENSG00000124812"	"ENSMUSG00000025774"	"ENSMMUG00000004190"
"h_OG0001184"	"ENSG00000167632"	"ENSMUSG00000047921"	"ENSMMUG00000048066"
"h_OG0001185"	"ENSG00000107959"	"ENSMUSG00000021193"	"ENSMMUG00000004938"
"h_OG0001186"	"ENSG00000197971"	"ENSMUSG00000041607"	"ENSMMUG00000011333"
"h_OG0001187"	"ENSG00000104361"	"ENSMUSG00000038879"	"ENSMMUG00000017815"
"h_OG0001188"	"ENSG00000186191"	"ENSMUSG00000074665"	"ENSMMUG00000020676"
"h_OG0001189"	"ENSG00000140365"	"ENSMUSG00000032299"	"ENSMMUG00000047011"
"h_OG0001190"	"ENSG00000001561"	"ENSMUSG00000023961"	"ENSMMUG00000042260"
"h_OG0001191"	"ENSG00000013016"	"ENSMUSG00000024065"	"ENSMMUG00000003476"
"h_OG0001192"	"ENSG00000151062"	"ENSMUSG00000041460"	"ENSMMUG00000017265"
"h_OG0001193"	"ENSG00000139826"	"ENSMUSG00000040396"	"ENSMMUG00000008039"
"h_OG0001194"	"ENSG00000140632"	"ENSMUSG00000022536"	"ENSMMUG00000009567"
"h_OG0001195"	"ENSG00000119537"	"ENSMUSG00000009905"	"ENSMMUG00000006578"
"h_OG0001196"	"ENSG00000102524"	"ENSMUSG00000031497"	"ENSMMUG00000008040"
"h_OG0001197"	"ENSG00000106992"	"ENSMUSG00000026817"	"ENSMMUG00000047346"
"h_OG0001198"	"ENSG00000106049"	"ENSMUSG00000029776"	"ENSMMUG00000023134"
"h_OG0001199"	"ENSG00000170312"	"ENSMUSG00000019942"	"ENSMMUG00000019876"
"h_OG0001200"	"ENSG00000163032"	"ENSMUSG00000054459"	"ENSMMUG00000040529"
"h_OG0001201"	"ENSG00000120318"	"ENSMUSG00000024451"	"ENSMMUG00000000465"
"h_OG0001202"	"ENSG00000106633"	"ENSMUSG00000041798"	"ENSMMUG00000002427"
"h_OG0001203"	"ENSG00000138175"	"ENSMUSG00000025035"	"ENSMMUG00000047000"
"h_OG0001204"	"ENSG00000142185"	"ENSMUSG00000009292"	"ENSMMUG00000004175"
"h_OG0001205"	"ENSG00000084628"	"ENSMUSG00000078532"	"ENSMMUG00000019884"
"h_OG0001206"	"ENSG00000166266"	"ENSMUSG00000032030"	"ENSMMUG00000001800"
"h_OG0001207"	"ENSG00000147874"	"ENSMUSG00000038047"	"ENSMMUG00000018396"
"h_OG0001208"	"ENSG00000204859"	"ENSMUSG00000028952"	"ENSMMUG00000032281"
"h_OG0001209"	"ENSG00000138795"	"ENSMUSG00000027985"	"ENSMMUG00000023256"
"h_OG0001210"	"ENSG00000203618"	"ENSMUSG00000050761"	"ENSMMUG00000040434"
"h_OG0001211"	"ENSG00000130520"	"ENSMUSG00000031848"	"ENSMMUG00000004405"
"h_OG0001212"	"ENSG00000108342"	"ENSMUSG00000038067"	"ENSMMUG00000002923"
"h_OG0001213"	"ENSG00000075239"	"ENSMUSG00000032047"	"ENSMMUG00000004161"
"h_OG0001214"	"ENSG00000101782"	"ENSMUSG00000024404"	"ENSMMUG00000021478"
"h_OG0001215"	"ENSG00000088827"	"ENSMUSG00000027322"	"ENSMMUG00000022070"
"h_OG0001216"	"ENSG00000148484"	"ENSMUSG00000026727"	"ENSMMUG00000016067"
"h_OG0001217"	"ENSG00000114316"	"ENSMUSG00000032612"	"ENSMMUG00000000822"
"h_OG0001218"	"ENSG00000125037"	"ENSMUSG00000030286"	"ENSMMUG00000018290"
"h_OG0001219"	"ENSG00000188996"	"ENSMUSG00000076430"	"ENSMMUG00000023562"
"h_OG0001220"	"ENSG00000118900"	"ENSMUSG00000039473"	"ENSMMUG00000009569"
"h_OG0001221"	"ENSG00000118017"	"ENSMUSG00000037953"	"ENSMMUG00000038999"
"h_OG0001222"	"ENSG00000222046"	"ENSMUSG00000078552"	"ENSMMUG00000040207"
"h_OG0001223"	"ENSG00000112685"	"ENSMUSG00000021357"	"ENSMMUG00000023558"
"h_OG0001224"	"ENSG00000167258"	"ENSMUSG00000003119"	"ENSMMUG00000021350"
"h_OG0001225"	"ENSG00000117215"	"ENSMUSG00000041202"	"ENSMMUG00000045550"
"h_OG0001226"	"ENSG00000221955"	"ENSMUSG00000035506"	"ENSMMUG00000048732"
"h_OG0001227"	"ENSG00000145241"	"ENSMUSG00000029253"	"ENSMMUG00000009390"
"h_OG0001228"	"ENSG00000170345"	"ENSMUSG00000021250"	"ENSMMUG00000040100"
"h_OG0001229"	"ENSG00000120279"	"ENSMUSG00000046916"	"ENSMMUG00000019073"
"h_OG0001230"	"ENSG00000172262"	"ENSMUSG00000094870"	"ENSMMUG00000014251"
"h_OG0001231"	"ENSG00000060688"	"ENSMUSG00000074088"	"ENSMMUG00000019406"
"h_OG0001232"	"ENSG00000163705"	"ENSMUSG00000033963"	"ENSMMUG00000008969"
"h_OG0001233"	"ENSG00000099219"	"ENSMUSG00000046324"	"ENSMMUG00000005469"
"h_OG0001234"	"ENSG00000197879"	"ENSMUSG00000017774"	"ENSMMUG00000002371"
"h_OG0001235"	"ENSG00000158786"	"ENSMUSG00000028749"	"ENSMMUG00000048211"
"h_OG0001236"	"ENSG00000122386"	"ENSMUSG00000062012"	"ENSMMUG00000009487"
"h_OG0001237"	"ENSG00000188158"	"ENSMUSG00000059493"	"ENSMMUG00000012894"
"h_OG0001238"	"ENSG00000090924"	"ENSMUSG00000037552"	"ENSMMUG00000019369"
"h_OG0001239"	"ENSG00000141499"	"ENSMUSG00000041346"	"ENSMMUG00000008637"
"h_OG0001240"	"ENSG00000144554"	"ENSMUSG00000034023"	"ENSMMUG00000008966"
"h_OG0001241"	"ENSG00000149782"	"ENSMUSG00000024960"	"ENSMMUG00000012948"
"h_OG0001242"	"ENSG00000218305"	"ENSMUSG00000033102"	"ENSMMUG00000008002"
"h_OG0001243"	"ENSG00000214642"	"ENSMUSG00000073735"	"ENSMMUG00000029617"
"h_OG0001244"	"ENSG00000105707"	"ENSMUSG00000001249"	"ENSMMUG00000004844"
"h_OG0001245"	"ENSG00000136478"	"ENSMUSG00000040548"	"ENSMMUG00000017521"
"h_OG0001246"	"ENSG00000168135"	"ENSMUSG00000044216"	"ENSMMUG00000040628"
"h_OG0001247"	"ENSG00000052795"	"ENSMUSG00000061175"	"ENSMMUG00000030046"
"h_OG0001248"	"ENSG00000156398"	"ENSMUSG00000025036"	"ENSMMUG00000047714"
"h_OG0001249"	"ENSG00000278845"	"ENSMUSG00000018882"	"ENSMMUG00000030911"
"h_OG0001250"	"ENSG00000124782"	"ENSMUSG00000039087"	"ENSMMUG00000007852"
"h_OG0001251"	"ENSG00000105671"	"ENSMUSG00000057788"	"ENSMMUG00000023293"
"h_OG0001252"	"ENSG00000175764"	"ENSMUSG00000026885"	"ENSMMUG00000014477"
"h_OG0001253"	"ENSG00000140464"	"ENSMUSG00000036986"	"ENSMMUG00000002569"
"h_OG0001254"	"ENSG00000100201"	"ENSMUSG00000055065"	"ENSMMUG00000004304"
"h_OG0001255"	"ENSG00000164123"	"ENSMUSG00000091685"	"ENSMMUG00000003488"
"h_OG0001256"	"ENSG00000149043"	"ENSMUSG00000031098"	"ENSMMUG00000004837"
"h_OG0001257"	"ENSG00000198060"	"ENSMUSG00000023307"	"ENSMMUG00000004816"
"h_OG0001258"	"ENSG00000167470"	"ENSMUSG00000035621"	"ENSMMUG00000022100"
"h_OG0001259"	"ENSG00000123146"	"ENSMUSG00000002885"	"ENSMMUG00000005722"
"h_OG0001260"	"ENSG00000274443"	"ENSMUSG00000067795"	"ENSMMUG00000043699"
"h_OG0001261"	"ENSG00000134115"	"ENSMUSG00000030092"	"ENSMMUG00000008549"
"h_OG0001262"	"ENSG00000085644"	"ENSMUSG00000071256"	"ENSMMUG00000020970"
"h_OG0001263"	"ENSG00000277399"	"ENSMUSG00000070337"	"ENSMMUG00000020528"
"h_OG0001264"	"ENSG00000107036"	"ENSMUSG00000038658"	"ENSMMUG00000009020"
"h_OG0001265"	"ENSG00000123933"	"ENSMUSG00000037235"	"ENSMMUG00000048558"
"h_OG0001266"	"ENSG00000066651"	"ENSMUSG00000019792"	"ENSMMUG00000004293"
"h_OG0001267"	"ENSG00000131059"	"ENSMUSG00000027482"	"ENSMMUG00000008928"
"h_OG0001268"	"ENSG00000136244"	"ENSMUSG00000025746"	"ENSMMUG00000019983"
"h_OG0001269"	"ENSG00000046889"	"ENSMUSG00000048960"	"ENSMMUG00000016023"
"h_OG0001270"	"ENSG00000136146"	"ENSMUSG00000022109"	"ENSMMUG00000017988"
"h_OG0001271"	"ENSG00000182107"	"ENSMUSG00000034435"	"ENSMMUG00000007264"
"h_OG0001272"	"ENSG00000176945"	"ENSMUSG00000035638"	"ENSMMUG00000008355"
"h_OG0001273"	"ENSG00000131016"	"ENSMUSG00000038587"	"ENSMMUG00000023265"
"h_OG0001274"	"ENSG00000146250"	"ENSMUSG00000033491"	"ENSMMUG00000016702"
"h_OG0001275"	"ENSG00000164530"	"ENSMUSG00000024011"	"ENSMMUG00000021977"
"h_OG0001276"	"ENSG00000130517"	"ENSMUSG00000056204"	"ENSMMUG00000004406"
"h_OG0001277"	"ENSG00000171657"	"ENSMUSG00000047678"	"ENSMMUG00000022584"
"h_OG0001278"	"ENSG00000174839"	"ENSMUSG00000040818"	"ENSMMUG00000018619"
"h_OG0001279"	"ENSG00000171659"	"ENSMUSG00000040229"	"ENSMMUG00000022583"
"h_OG0001280"	"ENSG00000146112"	"ENSMUSG00000034595"	"ENSMMUG00000019961"
"h_OG0001281"	"ENSG00000241690"	"ENSMUSG00000100963"	"ENSMMUG00000009331"
"h_OG0001282"	"ENSG00000101670"	"ENSMUSG00000053846"	"ENSMMUG00000019054"
"h_OG0001283"	"ENSG00000113805"	"ENSMUSG00000030075"	"ENSMMUG00000021241"
"h_OG0001284"	"ENSG00000119421"	"ENSMUSG00000026895"	"ENSMMUG00000044073"
"h_OG0001285"	"ENSG00000114204"	"ENSMUSG00000034139"	"ENSMMUG00000009446"
"h_OG0001286"	"ENSG00000105669"	"ENSMUSG00000055681"	"ENSMMUG00000023291"
"h_OG0001287"	"ENSG00000138231"	"ENSMUSG00000032469"	"ENSMMUG00000021284"
"h_OG0001288"	"ENSG00000100196"	"ENSMUSG00000010830"	"ENSMMUG00000004303"
"h_OG0001289"	"ENSG00000147044"	"ENSMUSG00000031012"	"ENSMMUG00000022578"
"h_OG0001290"	"ENSG00000188730"	"ENSMUSG00000050830"	"ENSMMUG00000038178"
"h_OG0001291"	"ENSG00000125730"	"ENSMUSG00000024164"	"ENSMMUG00000008693"
"h_OG0001292"	"ENSG00000110700"	"ENSMUSG00000090862"	"ENSMMUG00000030324"
"h_OG0001293"	"ENSG00000105176"	"ENSMUSG00000030421"	"ENSMMUG00000018441"
"h_OG0001294"	"ENSG00000119328"	"ENSMUSG00000038827"	"ENSMMUG00000000689"
"h_OG0001295"	"ENSG00000119535"	"ENSMUSG00000028859"	"ENSMMUG00000020434"
"h_OG0001296"	"ENSG00000162129"	"ENSMUSG00000001829"	"ENSMMUG00000005423"
"h_OG0001297"	"ENSG00000162144"	"ENSMUSG00000034445"	"ENSMMUG00000022372"
"h_OG0001298"	"ENSG00000012660"	"ENSMUSG00000032349"	"ENSMMUG00000006422"
"h_OG0001299"	"ENSG00000249115"	"ENSMUSG00000078762"	"ENSMMUG00000021395"
"h_OG0001300"	"ENSG00000122257"	"ENSMUSG00000030779"	"ENSMMUG00000015908"
"h_OG0001301"	"ENSG00000119326"	"ENSMUSG00000038816"	"ENSMMUG00000000690"
"h_OG0001302"	"ENSG00000071655"	"ENSMUSG00000035478"	"ENSMMUG00000009014"
"h_OG0001303"	"ENSG00000171532"	"ENSMUSG00000038255"	"ENSMMUG00000001404"
"h_OG0001304"	"ENSG00000174776"	"ENSMUSG00000104301"	"ENSMMUG00000022925"
"h_OG0001305"	"ENSG00000169018"	"ENSMUSG00000032244"	"ENSMMUG00000008311"
"h_OG0001306"	"ENSG00000100425"	"ENSMUSG00000022387"	"ENSMMUG00000000553"
"h_OG0001307"	"ENSG00000161091"	"ENSMUSG00000034854"	"ENSMMUG00000010653"
"h_OG0001308"	"ENSG00000156599"	"ENSMUSG00000034075"	"ENSMMUG00000002563"
"h_OG0001309"	"ENSG00000149809"	"ENSMUSG00000024799"	"ENSMMUG00000018773"
"h_OG0001310"	"ENSG00000185681"	"ENSMUSG00000026894"	"ENSMMUG00000039798"
"h_OG0001311"	"ENSG00000183396"	"ENSMUSG00000025652"	"ENSMMUG00000043325"
"h_OG0001312"	"ENSG00000158125"	"ENSMUSG00000024066"	"ENSMMUG00000000561"
"h_OG0001313"	"ENSG00000151914"	"ENSMUSG00000026131"	"ENSMMUG00000000777"
"h_OG0001314"	"ENSG00000278619"	"ENSMUSG00000018405"	"ENSMMUG00000000622"
"h_OG0001315"	"ENSG00000104435"	"ENSMUSG00000027500"	"ENSMMUG00000000507"
"h_OG0001316"	"ENSG00000163689"	"ENSMUSG00000021747"	"ENSMMUG00000021205"
"h_OG0001317"	"ENSG00000161682"	"ENSMUSG00000034685"	"ENSMMUG00000041006"
"h_OG0001318"	"ENSG00000157657"	"ENSMUSG00000028358"	"ENSMMUG00000008557"
"h_OG0001319"	"ENSG00000136295"	"ENSMUSG00000036565"	"ENSMMUG00000019005"
"h_OG0001320"	"ENSG00000169976"	"ENSMUSG00000078348"	"ENSMMUG00000047691"
"h_OG0001321"	"ENSG00000136158"	"ENSMUSG00000022114"	"ENSMMUG00000018292"
"h_OG0001322"	"ENSG00000183397"	"ENSMUSG00000020234"	"ENSMMUG00000039983"
"h_OG0001323"	"ENSG00000137078"	"ENSMUSG00000028460"	"ENSMMUG00000047202"
"h_OG0001324"	"ENSG00000103657"	"ENSMUSG00000038664"	"ENSMMUG00000012117"
"h_OG0001325"	"ENSG00000105325"	"ENSMUSG00000020235"	"ENSMMUG00000019870"
"h_OG0001326"	"ENSG00000188997"	"ENSMUSG00000044952"	"ENSMMUG00000017473"
"h_OG0001327"	"ENSG00000134852"	"ENSMUSG00000029238"	"ENSMMUG00000001919"
"h_OG0001328"	"ENSG00000166199"	"ENSMUSG00000098004"	"ENSMMUG00000017294"
"h_OG0001329"	"ENSG00000149476"	"ENSMUSG00000034371"	"ENSMMUG00000002692"
"h_OG0001330"	"ENSG00000170948"	"ENSMUSG00000038691"	"ENSMMUG00000019965"
"h_OG0001331"	"ENSG00000116176"	"ENSMUSG00000033200"	"ENSMMUG00000000392"
"h_OG0001332"	"ENSG00000165678"	"ENSMUSG00000041028"	"ENSMMUG00000018572"
"h_OG0001333"	"ENSG00000273706"	"ENSMUSG00000018698"	"ENSMMUG00000021668"
"h_OG0001334"	"ENSG00000147408"	"ENSMUSG00000036356"	"ENSMMUG00000000130"
"h_OG0001335"	"ENSG00000196557"	"ENSMUSG00000024112"	"ENSMMUG00000014213"
"h_OG0001336"	"ENSG00000132964"	"ENSMUSG00000029635"	"ENSMMUG00000014841"
"h_OG0001337"	"ENSG00000106052"	"ENSMUSG00000004535"	"ENSMMUG00000022454"
"h_OG0001338"	"ENSG00000151338"	"ENSMUSG00000047022"	"ENSMMUG00000009651"
"h_OG0001339"	"ENSG00000121579"	"ENSMUSG00000022698"	"ENSMMUG00000016903"
"h_OG0001340"	"ENSG00000213341"	"ENSMUSG00000025199"	"ENSMMUG00000018476"
"h_OG0001341"	"ENSG00000130811"	"ENSMUSG00000070319"	"ENSMMUG00000017217"
"h_OG0001342"	"ENSG00000140506"	"ENSMUSG00000056271"	"ENSMMUG00000012970"
"h_OG0001343"	"ENSG00000140044"	"ENSMUSG00000034271"	"ENSMMUG00000002797"
"h_OG0001344"	"ENSG00000204237"	"ENSMUSG00000039670"	"ENSMMUG00000008830"
"h_OG0001345"	"ENSG00000134138"	"ENSMUSG00000027210"	"ENSMMUG00000006840"
"h_OG0001346"	"ENSG00000185298"	"ENSMUSG00000049957"	"ENSMMUG00000008831"
"h_OG0001347"	"ENSG00000144677"	"ENSMUSG00000047409"	"ENSMMUG00000002907"
"h_OG0001348"	"ENSG00000168216"	"ENSMUSG00000073725"	"ENSMMUG00000005573"
"h_OG0001349"	"ENSG00000130598"	"ENSMUSG00000031097"	"ENSMMUG00000004838"
"h_OG0001350"	"ENSG00000151552"	"ENSMUSG00000015806"	"ENSMMUG00000005730"
"h_OG0001351"	"ENSG00000006432"	"ENSMUSG00000042724"	"ENSMMUG00000005786"
"h_OG0001352"	"ENSG00000100292"	"ENSMUSG00000005413"	"ENSMMUG00000007221"
"h_OG0001353"	"ENSG00000113712"	"ENSMUSG00000024576"	"ENSMMUG00000001758"
"h_OG0001354"	"ENSG00000261594"	"ENSMUSG00000096606"	"ENSMMUG00000045580"
"h_OG0001355"	"ENSG00000213578"	"ENSMUSG00000039714"	"ENSMMUG00000043994"
"h_OG0001356"	"ENSG00000186001"	"ENSMUSG00000022801"	"ENSMMUG00000000184"
"h_OG0001357"	"ENSG00000170776"	"ENSMUSG00000066406"	"ENSMMUG00000011251"
"h_OG0001358"	"ENSG00000167986"	"ENSMUSG00000024740"	"ENSMMUG00000002691"
"h_OG0001359"	"ENSG00000133116"	"ENSMUSG00000058488"	"ENSMMUG00000017048"
"h_OG0001360"	"ENSG00000178235"	"ENSMUSG00000075478"	"ENSMMUG00000003715"
"h_OG0001361"	"ENSG00000106927"	"ENSMUSG00000028356"	"ENSMMUG00000008559"
"h_OG0001362"	"ENSG00000109323"	"ENSMUSG00000028164"	"ENSMMUG00000003739"
"h_OG0001363"	"ENSG00000087053"	"ENSMUSG00000031918"	"ENSMMUG00000014801"
"h_OG0001364"	"ENSG00000183378"	"ENSMUSG00000048236"	"ENSMMUG00000019757"
"h_OG0001365"	"ENSG00000188133"	"ENSMUSG00000046593"	"ENSMMUG00000007964"
"h_OG0001366"	"ENSG00000100426"	"ENSMUSG00000034333"	"ENSMMUG00000018833"
"h_OG0001367"	"ENSG00000137135"	"ENSMUSG00000051517"	"ENSMMUG00000016323"
"h_OG0001368"	"ENSG00000169926"	"ENSMUSG00000052040"	"ENSMMUG00000049198"
"h_OG0001369"	"ENSG00000156603"	"ENSMUSG00000027080"	"ENSMMUG00000002562"
